objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,format_extent,provenance
C001001,c001001.jpg,cover,Troop 11,1953,cover of scrapbook,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001001,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/c001001.jpg,/objects/c001001.jpg,/objects/c001001.jpg,alt,,,
C001002,c001002.jpg,title,Troop 11,1/24/54,title of scrapbook,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001002,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/c001002.jpg,/objects/c001002.jpg,/objects/c001002.jpg,alt,,,
C001003,c001003.jpg,Girl Scot Troop Certificate,Troop 11,1/24/54,a blank girl scout troop certificate,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001003,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/c001003.jpg,/objects/c001003.jpg,/objects/c001003.jpg,alt,,,
C001004,c001004.jpg,page,Troop 11,5/12/53,"depicts a hand-drawn illustration of two scouts and the phrase ""May 11, 1953, Senior Scout Troop 11 held their invesititure at the First Pilgram's Congregational Church.""",girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001004,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/cC001004.jpg,/objects/cC001004.jpg,/objects/cC001004.jpg,alt,,,
C001005,c001005.jpg,page,Troop 11,5/30/53,"Depicts a newspaper clipping discussing Girl Scout meeting reported by Carolyn Woods, along with two handwritten notes congradulating Troop 11",girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001005,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/c001005.jpg,/objects/c001005.jpg,/objects/c001005.jpg,alt,,,
C001006,c001006.jpg,page,Troop 11,1/24/54,"Depicts a newspaper clipping discussing the election of Barbara Nolting as president of scout troop, along with a folded paper napkin",girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001006,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/c001006.jpg,/objects/c001006.jpg,/objects/c001006.jpg,alt,,,
C001007,c001007.jpg,Fall Creek Falls 53',Troop 11,5/6/05,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001007,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001007.jpg,/objects/c001007.jpg,/objects/c001007.jpg,alt,,,
C001008,c001008.jpg,School Activities,Troop 11,1/24/54,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001008,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001008.jpg,/objects/c001008.jpg,/objects/c001008.jpg,alt,,,
C001009,c001009.jpg,page,Troop 11,12/3/54,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001009,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001009.jpg,/objects/c001009.jpg,/objects/c001009.jpg,alt,,,
C001010,c001010.jpg,page,Troop 11,4/14/53,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001010,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001010.jpg,/objects/c001010.jpg,/objects/c001010.jpg,alt,,,
C001011,c001011.jpg,page,Troop 11,1/24/54,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001011,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001011.jpg,/objects/c001011.jpg,/objects/c001011.jpg,alt,,,
C001012,c001012.jpg,page,Troop 11,11/4/53,a scrapbook page,girl scouts,Chattanooga Tennessee,35.0458,-85.3094,Digitized from scrapbook located at the Girl Scout Museum at Daisys Place,C001012,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,,image,/objects/c001012.jpg,/objects/c001012.jpg,/objects/c001012.jpg,alt,,,
1967.147,TAU_ART_000194_0001.jpg,Market Scene,"Hamza, Johann (Austrian, 1850Ð1927)",1865-1925,"background architecture, market setting with vendors and umbrelled carts with women purchasing items.",Marketplaces; Vendors; Daily life; Architecture; Women; 19th century,,,,,1967.147,Painting,Oil,,Taubman Museum of Art. All rights reserved.,,,,,,,,painting: 4 x 6 1/2 in. (10.2 x 16.5 cm),
2004.001,TAU_ART_000118_0001.jpg,The Cotton Picker,"Benton, Thomas Hart (American painter, illustrator, and lithographer, 1889-1975)",1943,"Born in Neosho, Missouri into a family of lawyers and politicians, Thomas Hart Benton became one of his state's most recognized painters. Finding the scenes of the common man most fascinating to paint, Benton was a pioneer of the regionalist art movement focusing on nostalgic settings of the Midwest. Benton painted Cotton Pickers based on notes from a visit to Georgia in which he conveyed the dignity of the pickers despite their harsh working conditions. Cotton cultivation was a particular subject of interest to Benton especially in light of rapid industrialization, which permanently changed the American landscape. He received several commissions for murals during his lifetime, including from the Whitney Museum in New York and the Missouri State Capitol.","Social Realism;
Regionalism (Art Movement);
Cotton (Fiber);
Harvesting;
Sharecropping;
Agricultural Workers;
Manual Labor;
Agriculture and Rural Life;
The Laborer;
Great Migration (Contextual)",,,,,2004.001,Painting,Tempera,,Taubman Museum of Art. All rights reserved.,,,,,,,,22 x 23 1/2 x 3 in. (55.9 x 59.7 x 7.6 cm),
2003.003,TAU_ART_000120_0002.jpg,Swinging on the Gate,"Brown, John George (British-American painter, 1831-1913)",ca. 1878-79,"Genre painter John George Brown, known as J.G., was born in Durham, England and took drawing classes as a young man at the School of Design at Newcastle-on-Tyne while also being apprenticed as a glass worker. In 1853, Brown immigrated to America and established a studio in New York where he began to be known as a portrait painter. Brown enjoyed success as a genre painter, mainly for his warmhearted depictions of young street urchins and impoverished children. ",Social Realism; Agriculture and Rural Life,,,,,2003.003,,,,Taubman Museum of Art. All rights reserved.,,,,,,,,Image (frame: 34 1/2 x 26 9/16 x 3 1/4'): 22 1/2 x 14 3/8 in. (57.2 x 36.5 cm),"Acquired with Funds Provided by the Horace G. Fralin Charitable Trust, 2003.003"
